Entry,Identity,M+.,[M+H]+,CCS (Å2),SourceCCS,Retention time (min),SourceRT,Retention index,Type
96,Lidocaine,234.1727,235.1805,156.71,Measured,16.72,Measured,1875,Kovatas
97,Carbamazepine,236.0945,237.1023,149.09,Measured,20.78,Measured,2310,Kovatas
98,Carboxy-ibuprofen,236.1044,237.1122,149.48,Predicted,17.25,Predicted,1927,Kovatas
99,"2,6-Dichlorodiphenyl ether",237.9947,239.0025,144.19,Predicted,14.76,Predicted,1692,Kovatas
100,"2,5-Dichlorodiphenyl ether",237.9947,239.0025,149.3,Predicted,15.06,Predicted,1719,Kovatas
101,"2,4-Dichlorodiphenyl ether",237.9947,239.0025,150.51,Predicted,15.13,Predicted,1726,Kovatas
102,"2,3-Dichlorodiphenyl ether",237.9947,239.0025,149.97,Predicted,15.35,Predicted,1746,Kovatas
103,"2,2'-Dichlorodiphenyl ether",237.9947,239.0025,147.67,Predicted,15.45,Predicted,1755,Kovatas
104,"3,4-Dichlorodiphenyl ether",237.9947,239.0025,151.74,Predicted,15.62,Predicted,1771,Kovatas
105,"4,4'-Dichlorodiphenyl ether",237.9947,239.0025,150.91,Predicted,15.65,Predicted,1773,Kovatas
106,"3,5-Dichlorodiphenyl ether",237.9947,239.0025,151.91,Predicted,15.69,Predicted,1777,Kovatas
107,"2,4'-Dichlorodiphenyl ether",237.9947,239.0025,149.91,Predicted,15.98,Predicted,1804,Kovatas
108,"2,3'-Dichlorodiphenyl ether",237.9947,239.0025,149.48,Predicted,16.15,Predicted,1820,Kovatas
109,"3,3'-Dichlorodiphenyl ether",237.9947,239.0025,150.17,Predicted,16.42,Predicted,1846,Kovatas
110,"3,4'-Dichlorodiphenyl ether",237.9947,239.0025,151.59,Predicted,16.57,Predicted,1860,Kovatas
111,Hydrogenated terphenyl,238.1717,239.1795,158.59,Predicted,18.95,Predicted,2102,Kovatas
112,"1,7,7-Trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one",240.1509,241.1587,160.78,Predicted,17.07,Predicted,1909,Kovatas
113,Fenoprofen,242.0938,243.1016,152.66,Predicted,18.44,Predicted,2048,Kovatas
114,"4,4'-(1-Methylpropylidene)bisphenol",242.1302,243.138,166.2,Measured,20.15,Predicted,2236,Kovatas
115,Phantolide,244.1822,245.19,155.57,Predicted,15.06,Predicted,577617,Fiehn
116,Celestolide,244.1822,245.19,161.61,Predicted,14.57,Measured,1719,Kovatas
117,Ethoxylated isononylphenol,248.2135,249.2213,165.94,Predicted,16.3,Predicted,1834,Kovatas
118,"4,4'-Sulphonyldiphenol",250.0295,251.0373,154.25,Measured,21.1,Predicted,2348,Kovatas
119,Gemfibrozil,250.1564,251.1642,157.55,Measured,17.06,Predicted,1908,Kovatas
120,"2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethanol",250.1928,251.2006,162.45,Predicted,16.3,Predicted,1834,Kovatas
121,"2,4-Dibromophenol",251.8604,252.8682,134.3,Predicted,10.57,Predicted,1328,Kovatas
122,"2,6-Dibromophenol",251.8604,252.8682,122.05,Measured,11.4,Predicted,1400,Kovatas
123,Benzo[b]fluoranthene,252.0934,253.1012,150.89,Measured,17.05,Measured,678787,Fiehn
124,Benzo[k]fluoranthene,252.0934,253.1012,151.89,Measured,17.05,Measured,678787,Fiehn
125,Benzo[a]pyrene,252.0934,253.1012,149.84,Measured,17.35,Measured,690891,Fiehn
126,Sulfamethoxazole,253.0516,254.0594,151.64,Measured,17.15,Measured,682596,Fiehn
127,Ketoprofen,254.0938,255.1016,156.95,Measured,19.74,Predicted,2189,Kovatas
128,"1,7,7-Trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one",254.1666,255.1744,164.89,Predicted,17.61,Predicted,1963,Kovatas
129,Galaxolide,258.1979,259.2057,162.68,Predicted,21.95,Predicted,2453,Kovatas
130,Propranolol,259.1567,260.1645,161.79,Measured,19.41,Measured,2152,Kovatas
131,Cyclophosfamide,260.0243,261.0321,146.25,Measured,16.01,Predicted,1807,Kovatas
132,Ifosfamide,260.0243,261.0321,146.93,Measured,18.14,Predicted,2017,Kovatas
133,"2,2-Bis(bromomethyl)propane-1,3-diol",261.9022,262.91,141.42,Predicted,13.3,Predicted,1563,Kovatas
134,"4-(2,4-Dimethyl-3-propylheptyl)phenol",262.2292,263.237,166.42,Predicted,17.9,Predicted,1992,Kovatas
135,4-Isododecylphenol,262.2292,263.237,172.07,Predicted,19.83,Predicted,2199,Kovatas
136,"2-[4-(3,6-Dimethylheptan-3-yl)phenoxy]ethanol",264.2084,265.2162,168.51,Predicted,17.31,Predicted,1933,Kovatas
137,2-(Isononylphenoxy)ethanol,264.2084,265.2162,166.72,Predicted,17.69,Predicted,1971,Kovatas
138,2-(Nonylphenoxy)ethanol,264.2084,265.2162,165.86,Predicted,18.02,Predicted,2004,Kovatas
139,2-(4-Nonylphenoxy)ethanol,264.2084,265.2162,168.17,Predicted,18.94,Predicted,2101,Kovatas
140,Pentachlorophenol,265.8436,266.8514,134.35,Measured,18.2,Measured,725620,Fiehn
141,"2,6-Dibromoanisole",265.876,266.8838,140.73,Predicted,11.75,Predicted,1430,Kovatas
